"지점","지점명","일시","기온(°C)","풍속(m/s)","풍향(16방위)","습도(%)","전운량(10분위)","dangjin"
"129","서산","2018-03-05 13:00","7.3","4.9","20","64","","418"
"129","서산","2018-03-05 14:00","7.6","4.1","20","63","","621"
"129","서산","2018-03-05 15:00","7.7","4.4","20","60","","566"
"129","서산","2018-03-05 16:00","9.4","3","50","54","","413"
"129","서산","2018-03-05 17:00","9.2","3.2","20","54","","156"
"129","서산","2018-03-05 18:00","7.9","3.8","360","56","","0"
"129","서산","2018-03-05 19:00","6.2","2.5","360","62","","0"
"129","서산","2018-03-05 20:00","5.3","2.6","20","64","","0"
"129","서산","2018-03-05 21:00","4.4","2.4","20","69","","0"
"129","서산","2018-03-05 22:00","3.6","2.3","20","74","","0"
"129","서산","2018-03-05 23:00","3","1.3","20","76","","0"
"129","서산","2018-03-06 00:00","2.4","1.4","20","79","","0"
"129","서산","2018-03-06 01:00","1.9","1.5","50","79","","0"
"129","서산","2018-03-06 02:00","1.2","0.9","20","81","","0"
"129","서산","2018-03-06 03:00","0.6","1.2","20","83","","0"
"129","서산","2018-03-06 04:00","0","0.9","360","86","","0"
"129","서산","2018-03-06 05:00","-0.3","1.2","20","89","","0"
"129","서산","2018-03-06 06:00","-0.7","0.8","20","91","","0"
"129","서산","2018-03-06 07:00","-0.5","0.6","50","93","","15"
"129","서산","2018-03-06 08:00","0.4","1.5","50","92","","172"
"129","서산","2018-03-06 09:00","2.3","0.8","360","81","","389"
"129","서산","2018-03-06 10:00","4.5","1.4","50","66","","550"
"129","서산","2018-03-06 11:00","6.4","1.4","340","62","","630"
"129","서산","2018-03-06 12:00","8.5","2.6","360","43","","689"
"129","서산","2018-03-06 13:00","8.6","3.3","340","39","","655"
"129","서산","2018-03-06 14:00","8.3","3.3","360","33","","530"
"129","서산","2018-03-06 15:00","9.4","3.4","340","39","","495"
"129","서산","2018-03-06 16:00","8.9","3","360","39","","417"
"129","서산","2018-03-06 17:00","7.8","3.2","340","41","","159"
"129","서산","2018-03-06 18:00","5.9","3.3","340","46","","0"
"129","서산","2018-03-06 19:00","3.7","1.9","360","55","","0"
"129","서산","2018-03-06 20:00","2.3","1.2","50","60","","0"
"129","서산","2018-03-06 21:00","1.7","1.7","50","64","","0"
"129","서산","2018-03-06 22:00","1.3","1.9","70","66","","0"
"129","서산","2018-03-06 23:00","1.3","2.3","70","66","","0"
"129","서산","2018-03-07 00:00","1.2","2","50","69","","0"
"129","서산","2018-03-07 01:00","0.3","1.1","50","74","","0"
"129","서산","2018-03-07 02:00","1.3","1.4","20","71","","0"
"129","서산","2018-03-07 03:00","1.8","1.4","20","70","","0"
"129","서산","2018-03-07 04:00","1.7","1","360","72","","0"
"129","서산","2018-03-07 05:00","0.2","0.1","0","82","","0"
"129","서산","2018-03-07 06:00","-0.6","0.1","0","86","","0"
"129","서산","2018-03-07 07:00","-0.1","0.7","50","87","","11"
"129","서산","2018-03-07 08:00","2.7","1.1","70","76","","62"
"129","서산","2018-03-07 09:00","5.1","1.6","110","64","","248"
"129","서산","2018-03-07 10:00","7.6","2.1","90","54","","317"
"129","서산","2018-03-07 11:00","8.4","2.8","90","49","","433"
"129","서산","2018-03-07 12:00","9.2","1.2","180","50","","425"
"129","서산","2018-03-07 13:00","9.9","2.6","290","46","","329"
"129","서산","2018-03-07 14:00","10.3","1.5","360","45","","458"
"129","서산","2018-03-07 15:00","10.7","1.5","110","42","","249"
"129","서산","2018-03-07 16:00","10.9","1.6","90","41","","84"
"129","서산","2018-03-07 17:00","8.3","3","320","57","","12"
"129","서산","2018-03-07 18:00","7.7","2.3","360","58","","0"
"129","서산","2018-03-07 19:00","6.6","1.7","340","69","","0"
"129","서산","2018-03-07 20:00","5.8","0.4","0","84","","0"
"129","서산","2018-03-07 21:00","5.3","1.2","360","86","","0"
"129","서산","2018-03-07 22:00","4.6","0.4","0","96","","0"
"129","서산","2018-03-07 23:00","4.4","0.8","70","96","","0"
"129","서산","2018-03-08 00:00","3.8","1.7","70","95","","0"
"129","서산","2018-03-08 01:00","3.4","1.6","50","97","","0"
"129","서산","2018-03-08 02:00","2.7","1.5","50","97","","0"
"129","서산","2018-03-08 03:00","2.4","1.9","360","97","","0"
"129","서산","2018-03-08 04:00","2.4","2.3","20","97","","0"
"129","서산","2018-03-08 05:00","1.8","3.3","20","97","","0"
"129","서산","2018-03-08 06:00","1.6","2.6","20","98","","0"
"129","서산","2018-03-08 07:00","2.2","2.1","20","98","","0"
"129","서산","2018-03-08 08:00","2.8","3.1","360","96","","0"
"129","서산","2018-03-08 09:00","3.3","3.3","360","97","","54"
"129","서산","2018-03-08 10:00","3.7","3.7","360","95","","122"
"129","서산","2018-03-08 11:00","4.7","4","360","89","","262"
"129","서산","2018-03-08 12:00","5.6","4.5","20","80","","331"
"129","서산","2018-03-08 13:00","6.7","4.3","360","71","","369"
"129","서산","2018-03-08 14:00","5.4","5.3","320","80","","609"
"129","서산","2018-03-08 15:00","4.8","5.9","320","81","","507"
"129","서산","2018-03-08 16:00","4","5.3","320","81","","291"
"129","서산","2018-03-08 17:00","3.4","4.8","340","77","","101"
"129","서산","2018-03-08 18:00","2.4","3.1","340","76","","0"
"129","서산","2018-03-08 19:00","1.6","2.2","320","81","","0"
"129","서산","2018-03-08 20:00","1.2","1.6","270","85","","0"
"129","서산","2018-03-08 21:00","1.7","1.3","270","84","","0"
"129","서산","2018-03-08 22:00","0.7","0.6","180","90","","0"
"129","서산","2018-03-08 23:00","0.8","0.8","290","94","","0"
"129","서산","2018-03-09 00:00","1.6","1.5","320","85","","0"
"129","서산","2018-03-09 01:00","0.6","0.5","340","82","","0"
"129","서산","2018-03-09 02:00","1.1","0.2","0","74","","0"
"129","서산","2018-03-09 03:00","0.7","0.5","160","81","","0"
"129","서산","2018-03-09 04:00","0.8","0.8","200","82","","0"
"129","서산","2018-03-09 05:00","1.1","0.8","180","79","","0"
"129","서산","2018-03-09 06:00","0.1","0.1","0","89","","0"
"129","서산","2018-03-09 07:00","0.3","0.2","0","90","","8"
"129","서산","2018-03-09 08:00","1","0.9","180","79","","118"
"129","서산","2018-03-09 09:00","2.3","0.6","140","70","","334"
"129","서산","2018-03-09 10:00","4","0.4","0","67","","488"
"129","서산","2018-03-09 11:00","5.4","2.1","290","65","","584"
"129","서산","2018-03-09 12:00","6.5","2","230","64","","671"
"129","서산","2018-03-09 13:00","7.2","2.4","250","62","","685"
"129","서산","2018-03-09 14:00","6.8","3.2","250","63","","654"
"129","서산","2018-03-09 15:00","6.4","3.4","250","64","","540"
"129","서산","2018-03-09 16:00","6.9","3.3","250","62","","368"
"129","서산","2018-03-09 17:00","6.7","1.8","250","61","","142"
"129","서산","2018-03-09 18:00","6.2","1.6","230","62","","2"
"129","서산","2018-03-09 19:00","3.8","1.9","250","80","","0"
"129","서산","2018-03-09 20:00","2.3","1.1","180","84","","0"
"129","서산","2018-03-09 21:00","0.8","0.6","230","91","","0"
"129","서산","2018-03-09 22:00","0.2","0.7","180","94","","0"
"129","서산","2018-03-09 23:00","0.1","1.2","160","96","","0"
"129","서산","2018-03-10 00:00","-0.6","0.9","20","96","","0"
"129","서산","2018-03-10 01:00","-1.2","0","0","97","","0"
"129","서산","2018-03-10 02:00","-1.5","1.1","140","97","","0"
"129","서산","2018-03-10 03:00","-2.2","0.6","200","98","","0"
"129","서산","2018-03-10 04:00","-2","0.3","0","98","","0"
"129","서산","2018-03-10 05:00","-2.6","0.4","0","98","","0"
"129","서산","2018-03-10 06:00","-3","0.3","0","97","","0"
"129","서산","2018-03-10 07:00","-1.7","0.5","140","98","","15"
"129","서산","2018-03-10 08:00","-0.3","0.9","250","97","","164"
"129","서산","2018-03-10 09:00","2","1.2","230","95","","358"
"129","서산","2018-03-10 10:00","4","3","200","77","","510"
"129","서산","2018-03-10 11:00","5.6","3.4","180","67","","638"
"129","서산","2018-03-10 12:00","7.1","3.3","230","64","","686"
"129","서산","2018-03-10 13:00","7.4","3.8","200","63","","687"
"129","서산","2018-03-10 14:00","7.3","3.7","200","64","","634"
"129","서산","2018-03-10 15:00","7.3","4.4","250","62","","492"
"129","서산","2018-03-10 16:00","6.8","3.8","270","61","","307"
"129","서산","2018-03-10 17:00","6.3","3.5","250","67","","99"
"129","서산","2018-03-10 18:00","5.1","2.6","270","72","","0"
"129","서산","2018-03-10 19:00","3.8","1.7","230","84","","0"
"129","서산","2018-03-10 20:00","3.4","2.2","200","87","","0"
"129","서산","2018-03-10 21:00","3","1.5","230","88","","0"
"129","서산","2018-03-10 22:00","2.4","0.8","230","91","","0"
"129","서산","2018-03-10 23:00","2.1","0.2","0","95","","0"
"129","서산","2018-03-11 00:00","2.9","0.4","0","95","","0"
"129","서산","2018-03-11 01:00","3.6","0.5","250","93","","0"
"129","서산","2018-03-11 02:00","3.9","0.7","180","92","","0"
"129","서산","2018-03-11 03:00","3.6","0.6","270","94","","0"
"129","서산","2018-03-11 04:00","2.4","0.7","180","96","","0"
"129","서산","2018-03-11 05:00","1","0.2","0","98","","0"
"129","서산","2018-03-11 06:00","1.9","0.6","160","98","","0"
"129","서산","2018-03-11 07:00","1.7","0.3","0","98","","0"
"129","서산","2018-03-11 08:00","3.1","0.2","0","98","","41"
"129","서산","2018-03-11 09:00","4.8","0.6","290","86","","228"
"129","서산","2018-03-11 10:00","6","1.4","250","79","","513"
"129","서산","2018-03-11 11:00","7.7","1.8","270","72","","638"
"129","서산","2018-03-11 12:00","9.7","2.6","270","65","","693"
"129","서산","2018-03-11 13:00","10.6","2.9","250","53","","714"
"129","서산","2018-03-11 14:00","10.6","3","230","61","","656"
"129","서산","2018-03-11 15:00","10","3.6","250","66","","536"
"129","서산","2018-03-11 16:00","9.7","2.7","250","64","","355"
"129","서산","2018-03-11 17:00","8.6","3.2","250","69","","132"
"129","서산","2018-03-11 18:00","6.8","2.7","250","75","","2"
"129","서산","2018-03-11 19:00","5.2","1.8","230","83","","0"
"129","서산","2018-03-11 20:00","3.6","0.7","230","91","","0"
"129","서산","2018-03-11 21:00","2.6","0.7","200","94","","0"
"129","서산","2018-03-11 22:00","2.5","0.4","0","95","","0"
"129","서산","2018-03-11 23:00","1.5","0.6","50","98","","0"
"129","서산","2018-03-12 00:00","1","0.6","70","98","","0"
"129","서산","2018-03-12 01:00","0.3","0.2","0","98","","0"
"129","서산","2018-03-12 02:00","0.2","0","0","98","","0"
"129","서산","2018-03-12 03:00","-0.8","0.8","360","98","","0"
"129","서산","2018-03-12 04:00","-1.5","0.3","0","98","","0"
"129","서산","2018-03-12 05:00","-2","0.2","0","98","","0"
"129","서산","2018-03-12 06:00","-1.8","0.3","0","98","","0"
"129","서산","2018-03-12 07:00","-2","0.1","0","98","","12"
"129","서산","2018-03-12 08:00","-0.9","0.3","0","98","","110"
"129","서산","2018-03-12 09:00","1.6","0.5","200","98","","259"
"129","서산","2018-03-12 10:00","4.4","0.9","290","96","","411"
"129","서산","2018-03-12 11:00","9.7","1.9","250","79","","527"
"129","서산","2018-03-12 12:00","12.1","3.8","230","49","","580"
"129","서산","2018-03-12 13:00","13","4.7","200","47","","586"
"129","서산","2018-03-12 14:00","13.7","5.3","200","46","","553"
"129","서산","2018-03-12 15:00","13.3","3.8","200","46","","461"
"129","서산","2018-03-12 16:00","12.4","4","200","45","","281"
"129","서산","2018-03-12 17:00","11.4","3.9","200","49","","118"
"129","서산","2018-03-12 18:00","10.1","3.7","200","54","","3"
"129","서산","2018-03-12 19:00","8.3","2","180","68","","0"
"129","서산","2018-03-12 20:00","7.7","1.9","160","78","","0"
"129","서산","2018-03-12 21:00","7.1","1.9","180","84","","0"
"129","서산","2018-03-12 22:00","5.8","1.1","230","87","","0"
"129","서산","2018-03-12 23:00","4.3","0.4","0","94","","0"
"129","서산","2018-03-13 00:00","3.3","0.8","290","96","","0"
"129","서산","2018-03-13 01:00","4","1.4","250","98","","0"
"129","서산","2018-03-13 02:00","4.9","0.8","250","96","","0"
"129","서산","2018-03-13 03:00","5.2","0.4","0","92","","0"
"129","서산","2018-03-13 04:00","6.1","0.8","290","85","","0"
"129","서산","2018-03-13 05:00","6.9","1.4","270","76","","0"
"129","서산","2018-03-13 06:00","6.3","0.7","290","78","","0"
"129","서산","2018-03-13 07:00","7.9","1","230","65","","6"
"129","서산","2018-03-13 08:00","9.1","0.7","340","61","","124"
"129","서산","2018-03-13 09:00","11.2","2.5","200","55","","233"
"129","서산","2018-03-13 10:00","12.9","4.5","200","48","","462"
"129","서산","2018-03-13 11:00","13.6","5.9","200","47","","596"
"129","서산","2018-03-13 12:00","14.4","5","200","49","","642"
"129","서산","2018-03-13 13:00","14.5","5.9","200","59","","630"
"129","서산","2018-03-13 14:00","13.6","4.8","200","68","","502"
"129","서산","2018-03-13 15:00","14","4.5","200","72","","439"
"129","서산","2018-03-13 16:00","14","4.5","230","71","","197"
"129","서산","2018-03-13 17:00","12.9","4.3","230","77","","4"
"129","서산","2018-03-13 18:00","12.3","3.2","200","81","","0"
"129","서산","2018-03-13 19:00","12.2","2.7","200","81","","0"
"129","서산","2018-03-13 20:00","11.9","3.2","200","81","","0"
"129","서산","2018-03-13 21:00","11.8","2.5","200","80","","0"
"129","서산","2018-03-13 22:00","11.8","1.8","200","78","","0"
"129","서산","2018-03-13 23:00","12.3","2.6","200","68","","0"
"129","서산","2018-03-14 00:00","11.8","2.5","180","67","","0"
"129","서산","2018-03-14 01:00","12","3.2","200","64","","0"
"129","서산","2018-03-14 02:00","12","2.2","200","67","","0"
"129","서산","2018-03-14 03:00","11.5","2.7","200","71","","0"
"129","서산","2018-03-14 04:00","10.5","1.6","200","77","","0"
"129","서산","2018-03-14 05:00","10.5","1.6","180","80","","0"
"129","서산","2018-03-14 06:00","10.3","1.6","200","84","","0"
"129","서산","2018-03-14 07:00","10.6","1.3","230","86","","18"
"129","서산","2018-03-14 08:00","11.1","0.3","0","85","","143"
"129","서산","2018-03-14 09:00","13.3","1","270","79","","169"
"129","서산","2018-03-14 10:00","15.6","3","200","64","","401"
"129","서산","2018-03-14 11:00","17.5","5.6","200","55","","589"
"129","서산","2018-03-14 12:00","17.8","5.7","200","55","","635"
"129","서산","2018-03-14 13:00","19.3","5.2","200","51","","628"
"129","서산","2018-03-14 14:00","19.8","5.3","230","49","","639"
"129","서산","2018-03-14 15:00","19.5","5.4","200","50","","551"
"129","서산","2018-03-14 16:00","19","5","200","50","","398"
"129","서산","2018-03-14 17:00","18.8","3.9","200","54","","174"
"129","서산","2018-03-14 18:00","17.1","3.7","180","63","","5"
"129","서산","2018-03-14 19:00","15.2","2.5","200","75","","0"
"129","서산","2018-03-14 20:00","14.3","1.6","200","81","","0"
"129","서산","2018-03-14 21:00","12.8","0.5","360","86","","0"
"129","서산","2018-03-14 22:00","13.3","0.3","0","84","","0"
"129","서산","2018-03-14 23:00","13.4","1.1","200","83","","0"
"129","서산","2018-03-15 00:00","12.6","0.8","230","93","","0"
"129","서산","2018-03-15 01:00","12.5","0.4","0","94","","0"
"129","서산","2018-03-15 02:00","12.6","1.6","200","95","","0"
"129","서산","2018-03-15 03:00","12.3","0.6","340","98","","0"
"129","서산","2018-03-15 04:00","13.8","2.9","180","98","","0"
"129","서산","2018-03-15 05:00","12.7","3.3","200","98","","0"
"129","서산","2018-03-15 06:00","13.5","5.1","200","98","","0"
"129","서산","2018-03-15 07:00","12.6","4.2","200","98","","0"
"129","서산","2018-03-15 08:00","13.1","3.2","200","98","","0"
"129","서산","2018-03-15 09:00","13.2","2.9","200","98","","0"
"129","서산","2018-03-15 10:00","13.4","2.8","200","98","","0"
"129","서산","2018-03-15 11:00","13.3","1.9","230","98","","8"
"129","서산","2018-03-15 12:00","12.9","2.9","270","98","","36"
"129","서산","2018-03-15 13:00","12.3","2.1","230","98","","50"
"129","서산","2018-03-15 14:00","11.9","2.8","270","98","","72"
"129","서산","2018-03-15 15:00","10.9","1.7","320","98","","16"
"129","서산","2018-03-15 16:00","9.9","2.8","320","98","","0"
"129","서산","2018-03-15 17:00","8.6","1.6","360","98","","0"
"129","서산","2018-03-15 18:00","8.6","1.7","340","98","","0"
"129","서산","2018-03-15 19:00","7.3","1.5","50","98","","0"
"129","서산","2018-03-15 20:00","7.5","0.4","0","98","","0"
"129","서산","2018-03-15 21:00","7.3","1","340","98","","0"
"129","서산","2018-03-15 22:00","6.3","2.4","340","96","","0"
"129","서산","2018-03-15 23:00","6.3","2.7","340","87","","0"
"129","서산","2018-03-16 00:00","6.4","2.2","340","81","","0"
"129","서산","2018-03-16 01:00","6.1","2.2","340","78","","0"
"129","서산","2018-03-16 02:00","5.2","3.2","360","81","","0"
"129","서산","2018-03-16 03:00","5.1","2.3","340","83","","0"
"129","서산","2018-03-16 04:00","5.4","1.6","360","86","","0"
"129","서산","2018-03-16 05:00","6.3","2.6","50","87","","0"
"129","서산","2018-03-16 06:00","6.2","2.7","50","75","","0"
"129","서산","2018-03-16 07:00","5.7","3.3","50","69","","10"
"129","서산","2018-03-16 08:00","5.9","3.5","50","67","","179"
"129","서산","2018-03-16 09:00","6.4","3.7","50","65","","393"
"129","서산","2018-03-16 10:00","7.2","4.1","70","61","","561"
"129","서산","2018-03-16 11:00","8","3.6","50","60","","665"
"129","서산","2018-03-16 12:00","9.1","3.8","70","55","","712"
"129","서산","2018-03-16 13:00","9.4","4","50","54","","688"
"129","서산","2018-03-16 14:00","10.7","3.5","50","50","","664"
"129","서산","2018-03-16 15:00","10.8","3.9","70","47","","573"
"129","서산","2018-03-16 16:00","10.7","3.7","70","45","","413"
"129","서산","2018-03-16 17:00","10.7","3.2","50","45","","186"
"129","서산","2018-03-16 18:00","9.7","2","70","47","","4"
"129","서산","2018-03-16 19:00","8.2","1.3","90","56","","0"
"129","서산","2018-03-16 20:00","6.7","1.2","70","62","","0"
"129","서산","2018-03-16 21:00","5.1","1.4","110","70","","0"
"129","서산","2018-03-16 22:00","3.6","1","20","79","","0"
"129","서산","2018-03-16 23:00","2.1","0.4","0","86","","0"
"129","서산","2018-03-17 00:00","2","0.5","290","86","","0"
"129","서산","2018-03-17 01:00","1.3","0.2","0","85","","0"
"129","서산","2018-03-17 02:00","0.2","0.4","0","91","","0"
"129","서산","2018-03-17 03:00","0.2","0.3","0","89","","0"
"129","서산","2018-03-17 04:00","0.5","0.9","70","85","","0"
"129","서산","2018-03-17 05:00","-0.9","0.3","0","90","","0"
"129","서산","2018-03-17 06:00","-1.2","0.3","0","87","","0"
"129","서산","2018-03-17 07:00","-0.6","0.9","50","90","","16"
"129","서산","2018-03-17 08:00","1.5","0.5","20","82","","177"
"129","서산","2018-03-17 09:00","4.8","1.1","70","63","","348"
"129","서산","2018-03-17 10:00","7.2","1.2","90","55","","532"
"129","서산","2018-03-17 11:00","9.1","1.7","110","47","","631"
"129","서산","2018-03-17 12:00","10.7","2","290","43","","688"
"129","서산","2018-03-17 13:00","11.1","2.1","230","46","","706"
"129","서산","2018-03-17 14:00","11.8","2.8","250","43","","658"
"129","서산","2018-03-17 15:00","11.5","2.9","250","52","","542"
"129","서산","2018-03-17 16:00","11.7","2.4","200","55","","272"
"129","서산","2018-03-17 17:00","9.2","3.7","250","56","","103"
"129","서산","2018-03-17 18:00","7.8","3.3","250","65","","3"
"129","서산","2018-03-17 19:00","6.4","1.2","200","74","","0"
"129","서산","2018-03-17 20:00","5","0.2","0","82","","0"
"129","서산","2018-03-17 21:00","3.9","0.6","140","88","","0"
"129","서산","2018-03-17 22:00","3.1","0.2","0","90","","0"
"129","서산","2018-03-17 23:00","3.3","0.7","90","90","","0"
"129","서산","2018-03-18 00:00","2.6","0.8","50","93","","0"
"129","서산","2018-03-18 01:00","2","0.1","0","95","","0"
"129","서산","2018-03-18 02:00","3","0.5","20","93","","0"
"129","서산","2018-03-18 03:00","3.4","0.8","50","90","","0"
"129","서산","2018-03-18 04:00","2.8","0.6","20","91","","0"
"129","서산","2018-03-18 05:00","3.9","1.3","20","83","","0"
"129","서산","2018-03-18 06:00","3.9","1","50","84","","0"
"129","서산","2018-03-18 07:00","4.1","0.9","110","85","","0"
"129","서산","2018-03-18 08:00","4.1","0.4","0","86","","25"
"129","서산","2018-03-18 09:00","4.6","0.7","110","84","","103"
"129","서산","2018-03-18 10:00","5.7","0.8","290","75","","137"
"129","서산","2018-03-18 11:00","7","0.6","320","63","","189"
"129","서산","2018-03-18 12:00","8.4","0.8","50","58","","187"
"129","서산","2018-03-18 13:00","9.9","0.5","20","56","","223"
"129","서산","2018-03-18 14:00","10.8","0.9","90","55","","127"
